nodo_id,nombre_visible,handle,total_likes_recibidos,total_replies_recibidas,tipo,channel_id,category,view_count
UC-HeUTT6_g-VoiWds2a4H-w,@JorgeMunoz-gd9et,/@JorgeMunoz-gd9et,0.0,0.0,autor,,,
UC-Iul5tDYH_oiAMXQH-KaaQ,@AlbertoMancilla-p9h,/@AlbertoMancilla-p9h,1.0,0.0,autor,,,
UC-QOpE7GOxlXcHZ8b7HbQKA,@mariaalexander427,/@mariaalexander427,0.0,0.0,autor,,,
UC-fiZBS5Gp1eCJd9ucgWnCg,@Tommii.10,/@Tommii.10,6.0,0.0,autor,,,
UC-hfX8J5JPJ-dfuakzegMLA,@normaleticiaorozcojuarez2418,/@normaleticiaorozcojuarez2418,6.0,0.0,autor,,,
UC-jS_kA9w-OmpupXDx156Rg,@simoncreyesc7579,/@simoncreyesc7579,2.0,0.0,autor,,,
UC-pNP6RMFuLg_-x7Ah_0kEA,@almacatalan2717,/@almacatalan2717,5.0,0.0,autor,,,
UC094EFEmMSdwVa8NQjjYBXg,@CelestinoQuej-j7k,/@CelestinoQuej-j7k,0.0,0.0,autor,,,
UC0HvfEWozTHbwl_iEmJNvVA,@OttoPalencia-b7r,/@OttoPalencia-b7r,3.0,0.0,autor,,,
UC0RpuMwkDKJYqgKHtsJRuWQ,@sabinamarinaguerra3248,/@sabinamarinaguerra3248,113.0,1.0,autor,,,
UC0aEyakBPqcBkVJiErfSupQ,@jhonymanuel9891,/@jhonymanuel9891,70.0,0.0,autor,,,
UC14qlobYKqD-DO0j6b75lcA,@megavision4488,/@megavision4488,0.0,0.0,autor,,,
UC1DpqK6vaPEkBOMNvypsKYg,@HectorCarranza-u4j4o,/@HectorCarranza-u4j4o,0.0,0.0,autor,,,
UC1NiEdJ7gk6FlDexIalWnGg,@BorisTebalán,/@BorisTebal%C3%A1n,0.0,0.0,autor,,,
UC1WlJfQmaIskYhP4gmWoamw,@marthareiss5434,/@marthareiss5434,2.0,1.0,autor,,,
UC1Y7x3h0c95Z8kUhi-Tzaeg,@rosadiaz9235,/@rosadiaz9235,0.0,0.0,autor,,,
UC1vr9aaMI2crB0NvwFHUeoQ,@JoseSimilox-p6e,/@JoseSimilox-p6e,0.0,0.0,autor,,,
UC2Y_EHWQKevubk4vOEBBFxw,@alfonsomorales2653,/@alfonsomorales2653,1.0,0.0,autor,,,
UC2ngpd8UBQu4gcUYy0goAtg,@juliohernandez7438,/@juliohernandez7438,0.0,0.0,autor,,,
UC2weSE8rpqkGMOp6StYtVfg,@katerynsantiago2907,/@katerynsantiago2907,1.0,0.0,autor,,,
UC32oozucwCF3q8d4m8fyOUg,@RauldejesusOlivagonzalez,/@RauldejesusOlivagonzalez,0.0,0.0,autor,,,
UC3E9mAgP7VoAE5mZoAexl5g,@EnnioAroche,/@EnnioAroche,0.0,0.0,autor,,,
UC3MYTqpQqlWBuCB7Th0e0PA,@isaaclopez7220,/@isaaclopez7220,4.0,0.0,autor,,,
UC3NMzdMYryaw82kPTnsaljg,@marisosa7832,/@marisosa7832,0.0,0.0,autor,,,
UC3UVO7pTbeYvZ3ILEyRDskQ,@rosaelenaargueta79,/@rosaelenaargueta79,1.0,0.0,autor,,,
UC3XTwHxygNCgjndsg-UiCQA,@marioajset4283,/@marioajset4283,2.0,0.0,autor,,,
UC3YpzAr7pcdKC7BVFEpYzog,@carmenfigueroa1232,/@carmenfigueroa1232,4.0,1.0,autor,,,
UC3iIU62XKUOWuqL8BqBzj9A,@antonioduarte2288,/@antonioduarte2288,0.0,0.0,autor,,,
UC3qn1yJA5PeW9rkGPatQxiw,@VICTOREST19,/@VICTOREST19,7.0,0.0,autor,,,
UC4Avya4kmR4Q0FrfFdBozSQ,@davidlima1348,/@davidlima1348,11.0,0.0,autor,,,
UC4cXueR2bKGFJV0Fk76gwmA,@aluxdel4792,/@aluxdel4792,0.0,0.0,autor,,,
UC4kg7zuTfqQKLd2bkZrSYBA,@zoilagarcia9019,/@zoilagarcia9019,0.0,0.0,autor,,,
UC4wq3DcbfaG6dtCqn8Oyu3w,@hugoasencio7764,/@hugoasencio7764,1.0,0.0,autor,,,
UC5H8ASmMC9WrURmzeB4ySog,@ManuelEdran,/@ManuelEdran,6.0,0.0,autor,,,
UC5PrBbmUlQolwqmiru7yZhw,@lazarochavez8269,/@lazarochavez8269,0.0,1.0,autor,,,
UC5PyGvSfFM--OVKmQ3COu6g,@FreddyGmez,/@FreddyGmez,3.0,0.0,autor,,,
UC5bG9nc_JV3FsNP2KseQiYw,@giovannirodas4836,/@giovannirodas4836,2.0,0.0,autor,,,
UC5fvhAfm89JH8eDFdvc0xYw,@isaidiaz2388,/@isaidiaz2388,0.0,0.0,autor,,,
UC5hvEnRUzI4Kfvwnyi4QxqQ,@leonelsantizo5281,/@leonelsantizo5281,2.0,0.0,autor,,,
UC5wuDq3U3vRAhOQI3D7gNdw,@allanreneramirezgonzalez534,/@allanreneramirezgonzalez534,2.0,1.0,autor,,,
UC63tFvbQ_hJhGDi2nbjssjw,@AbigailRodas-w2r,/@AbigailRodas-w2r,2.0,0.0,autor,,,
UC650pRT-OYzny3GwOH8Cgfw,@edvinparedesherrera7632,/@edvinparedesherrera7632,1.0,0.0,autor,,,
UC6PvO1_k5lHKGdAPo5_C6TA,@johnmejia992,/@johnmejia992,1.0,0.0,autor,,,
UC6Uj1FT5JjDSF8vudvDxPAA,@alfredoortega9264,/@alfredoortega9264,1.0,0.0,autor,,,
UC6YSZqL0vEcI-niPKIMUGfw,@maxwellsales885,/@maxwellsales885,2.0,0.0,autor,,,
UC6xI_MOaxajIWpoP8BH6E_Q,@jahirdiaz5862,/@jahirdiaz5862,0.0,0.0,autor,,,
UC72gBAtyb_VXQlYDcFrh6oQ,@osmanmorales3012,/@osmanmorales3012,19.0,0.0,autor,,,
UC7IMsCxfZyWN7YQo8-JYa6Q,@Burgos68,/@Burgos68,1.0,0.0,autor,,,
UC7VUuJr9cGh845CmTvf7TlQ,@LuisCastillo-oz4df,/@LuisCastillo-oz4df,1.0,0.0,autor,,,
UC7dadZG7kkGYnsNu6td0FbA,@lesolorzano,/@lesolorzano,18.0,0.0,autor,,,
UC816IGbFCZinfYS1LRDaaHg,@ingenieroar,/@ingenieroar,1.0,0.0,autor,,,
UC8F2V63KZ4ZEay6opX2hAQw,@carmenr6311,/@carmenr6311,0.0,0.0,autor,,,
UC8G5cJONY8L9voMyBW8Eoug,@luisparedes-pw6qt,/@luisparedes-pw6qt,0.0,0.0,autor,,,
UC8r11yOugM2NuRfitQOxLLg,@cesaraugustomoralesmonroy6907,/@cesaraugustomoralesmonroy6907,1.0,0.0,autor,,,
UC8xlJWNHz1V_W6q3fbuQH8g,@NormaLópez-v7e,/@NormaL%C3%B3pez-v7e,1.0,0.0,autor,,,
UC95PSMouTx2N5CbSq0hIyrQ,@lisss1908,/@lisss1908,0.0,0.0,autor,,,
UC9Wp6vL5oCU37qC3Aj94WZA,@ManuelSanchez-b8q2z,/@ManuelSanchez-b8q2z,0.0,0.0,autor,,,
UC9vMq1YF-e7C-VO0SHkbUTA,@ErvinLeonardoCarreraLatín,/@ErvinLeonardoCarreraLat%C3%ADn,0.0,0.0,autor,,,
UC9xr9QvIcDvoZNUX5f-jaZw,@MariaaliciaColonmorales,/@MariaaliciaColonmorales,0.0,0.0,autor,,,
UCA93ym2TXs_Ibyxb4Vcn-6Q,@oswaldosolis8728,/@oswaldosolis8728,0.0,0.0,autor,,,
UCAKuKvcbfnBD3kF5njNu-IA,@melvinlopez7096,/@melvinlopez7096,0.0,0.0,autor,,,
UCAV7QIjYhbDJaycQycM_0eQ,@mariavail8998,/@mariavail8998,3.0,0.0,autor,,,
UCAlzM_N6xBlMYmM8EBzX86Q,@carlossoto3252,/@carlossoto3252,3.0,0.0,autor,,,
UCAmtbUiIrUIhikru0ZoTFig,@Aura-vf6dm,/@Aura-vf6dm,7.0,0.0,autor,,,
UCAxvOOHQk7dYPOajzFEVtbA,@ruddydepaz322,/@ruddydepaz322,0.0,0.0,autor,,,
UCB5p8a5gklc80jJItP6xTHg,@ernestogamboa8737,/@ernestogamboa8737,6.0,0.0,autor,,,
UCBlm80VQ4YoV3bUJR_XhkaQ,@rosadiaz6945,/@rosadiaz6945,0.0,3.0,autor,,,
UCBtB5dIyx-C16UN8ClUD2UA,@alexmonzon4257,/@alexmonzon4257,0.0,0.0,autor,,,
